Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

12:49:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:50:03 AM     all     22.70      0.00      8.02      0.32      0.00     68.96
12:51:03 AM     all     12.80      0.00      6.15      0.00      0.00     81.05
12:52:03 AM     all      7.72      0.00      5.93      0.01      0.00     86.35
12:53:03 AM     all      7.69      0.00      4.45      0.01      0.00     87.85
12:54:03 AM     all      5.77      0.00      1.01      0.00      0.00     93.21
12:55:03 AM     all      4.64      0.00      2.25      0.00      0.00     93.11
12:56:03 AM     all      5.64      0.00      0.68      0.00      0.00     93.68
12:57:03 AM     all     16.89      0.00      2.22      0.00      0.00     80.89
12:58:03 AM     all     29.06      0.00      2.08      0.00      0.00     68.86
12:59:03 AM     all     14.12      0.00      1.05      0.00      0.00     84.83
01:00:03 AM     all     10.61      0.00      0.77      0.00      0.00     88.63
