ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416268828.73996,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_operator,0,0,225941,958585,0,0,0,0,0,0,60553,630379,45838,461398,,,,
1416268828.73996,pg_catalog,pg_aggregate,0,0,15131,15131,0,0,0,0,0,0,4585,10546,9187,17859,,,,
1416268828.73996,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_toast,pg_toast_12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,public,supplier,8,400000,42,42,100000,0,0,0,100000,0,2312,15690,4,88,,,,
1416268828.73996,pg_catalog,pg_description,0,0,3762,0,0,0,0,0,0,0,0,0,1404,6932,0,0,0,0
1416268828.73996,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,public,time_statistics,1,1,,,3,1,0,1,3,1,2,3,,,,,,
1416268828.73996,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416268828.73996,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416268828.73996,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416268828.73996,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_default_acl,0,0,3288,0,0,0,0,0,0,0,0,0,390,2898,,,,
1416268828.73996,pg_toast,pg_toast_12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_toast,pg_toast_12208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_catalog,pg_attribute,3278,21754,946140,1847562,6362,220,6184,184,2425,284,94049,926659,44016,1918094,,,,
1416268828.73996,pg_catalog,pg_statistic,0,0,217908,165453,1467,3468,1404,3042,473,111,39311,136693,20875,448891,4942,18856,1880,17871
1416268828.73996,pg_toast,pg_toast_12203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416268828.73996,pg_toast,pg_toast_2618,0,0,12390,40235,0,0,0,0,0,0,9553,12097,3708,14942,,,,
